planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
WASP-019,63,23,in_transit_model,model,exponential,0.58974,0.98507,Subdiffusive,48,transit_23_model_msd.png,ok
WASP-019,63,23,in_transit_resid,resid,exponential,2.70431,-21.92314,Hyperballistic,48,transit_23_resid_msd.png,ok
WASP-019,63,23,post_baseline,post,exponential,2.56931,-34.20488,Hyperballistic,48,transit_23_post_msd.png,ok
WASP-019,63,24,pre_baseline,pre,exponential,2.65449,-45.13692,Hyperballistic,49,transit_24_pre_msd.png,ok
WASP-019,63,24,in_transit_raw,raw,exponential,0.78709,0.97436,Subdiffusive,48,transit_24_raw_msd.png,ok
WASP-019,63,24,in_transit_model,model,exponential,0.66792,0.9876,Subdiffusive,48,transit_24_model_msd.png,ok
WASP-019,63,24,in_transit_resid,resid,exponential,2.87985,-38.01159,Hyperballistic,48,transit_24_resid_msd.png,ok
WASP-019,63,24,post_baseline,post,exponential,2.78466,-30.17075,Hyperballistic,48,transit_24_post_msd.png,ok
WASP-019,63,25,pre_baseline,pre,exponential,2.46369,-17.55421,Hyperballistic,45,transit_25_pre_msd.png,ok
WASP-019,63,25,in_transit_raw,raw,exponential,1.12242,0.98594,Superdiffusive,46,transit_25_raw_msd.png,ok
WASP-019,63,25,in_transit_model,model,exponential,0.68165,0.98934,Subdiffusive,46,transit_25_model_msd.png,ok
WASP-019,63,25,in_transit_resid,resid,exponential,2.8897,-32.57928,Hyperballistic,46,transit_25_resid_msd.png,ok
WASP-019,63,25,post_baseline,post,exponential,2.72005,-34.22741,Hyperballistic,47,transit_25_post_msd.png,ok
WASP-019,63,26,pre_baseline,pre,exponential,2.89568,-40.64497,Hyperballistic,48,transit_26_pre_msd.png,ok
WASP-019,63,26,in_transit_raw,raw,exponential,0.68936,0.97081,Subdiffusive,48,transit_26_raw_msd.png,ok
WASP-019,63,26,in_transit_model,model,exponential,0.66552,0.9875,Subdiffusive,48,transit_26_model_msd.png,ok
WASP-019,63,26,in_transit_resid,resid,exponential,2.71718,-42.00784,Hyperballistic,48,transit_26_resid_msd.png,ok
WASP-019,63,26,post_baseline,post,exponential,2.386,-36.87925,Hyperballistic,48,transit_26_post_msd.png,ok
WASP-019,63,27,pre_baseline,pre,exponential,2.74996,-73.21535,Hyperballistic,48,transit_27_pre_msd.png,ok
WASP-019,63,27,in_transit_raw,raw,exponential,1.19298,-0.97166,Superdiffusive,49,transit_27_raw_msd.png,ok
WASP-019,63,27,in_transit_model,model,exponential,0.70368,0.99043,Subdiffusive,49,transit_27_model_msd.png,ok
WASP-019,63,27,in_transit_resid,resid,exponential,2.7195,-13.49034,Hyperballistic,49,transit_27_resid_msd.png,ok
WASP-019,63,27,post_baseline,post,exponential,2.78929,-21.58767,Hyperballistic,48,transit_27_post_msd.png,ok
WASP-019,63,28,pre_baseline,pre,exponential,2.79221,-29.32601,Hyperballistic,49,transit_28_pre_msd.png,ok
WASP-019,63,28,in_transit_raw,raw,exponential,0.74398,0.91684,Subdiffusive,48,transit_28_raw_msd.png,ok
WASP-019,63,28,in_transit_model,model,exponential,1.00648,0.99611,Near-Brownian,48,transit_28_model_msd.png,ok
WASP-019,63,28,in_transit_resid,resid,exponential,2.79804,-25.72437,Hyperballistic,48,transit_28_resid_msd.png,ok
WASP-019,63,28,post_baseline,post,exponential,2.45359,-30.56966,Hyperballistic,48,transit_28_post_msd.png,ok
WASP-019,63,29,pre_baseline,pre,exponential,2.69227,-24.2019,Hyperballistic,48,transit_29_pre_msd.png,ok
WASP-019,63,29,in_transit_raw,raw,exponential,0.71717,0.96034,Subdiffusive,48,transit_29_raw_msd.png,ok
WASP-019,63,29,in_transit_model,model,exponential,1.00591,0.9961,Near-Brownian,48,transit_29_model_msd.png,ok
WASP-019,63,29,in_transit_resid,resid,exponential,2.98638,-26.24689,Hyperballistic,48,transit_29_resid_msd.png,ok
WASP-019,63,29,post_baseline,post,exponential,2.83284,-30.24114,Hyperballistic,48,transit_29_post_msd.png,ok
WASP-019,63,30,pre_baseline,pre,exponential,2.93663,-45.58174,Hyperballistic,48,transit_30_pre_msd.png,ok
WASP-019,63,30,in_transit_raw,raw,exponential,1.7471,0.9959,Superdiffusive,49,transit_30_raw_msd.png,ok
WASP-019,63,30,in_transit_model,model,exponential,0.56826,0.98666,Subdiffusive,49,transit_30_model_msd.png,ok
WASP-019,63,30,in_transit_resid,resid,exponential,2.83308,-33.1651,Hyperballistic,49,transit_30_resid_msd.png,ok
WASP-019,63,30,post_baseline,post,exponential,2.73083,-35.82017,Hyperballistic,48,transit_30_post_msd.png,ok
WASP-019,63,31,pre_baseline,pre,exponential,2.75507,-25.6827,Hyperballistic,48,transit_31_pre_msd.png,ok
WASP-019,63,31,in_transit_raw,raw,exponential,0.65665,0.97463,Subdiffusive,49,transit_31_raw_msd.png,ok
WASP-019,63,31,in_transit_model,model,exponential,0.52842,0.98559,Subdiffusive,49,transit_31_model_msd.png,ok
WASP-019,63,31,in_transit_resid,resid,exponential,2.94789,-25.22055,Hyperballistic,49,transit_31_resid_msd.png,ok
WASP-019,63,31,post_baseline,post,exponential,2.55891,-21.29083,Hyperballistic,48,transit_31_post_msd.png,ok
WASP-019,63,32,pre_baseline,pre,exponential,2.75855,-20.63681,Hyperballistic,48,transit_32_pre_msd.png,ok
WASP-019,63,32,in_transit_raw,raw,exponential,0.98246,0.95696,Near-Brownian,48,transit_32_raw_msd.png,ok
WASP-019,63,32,in_transit_model,model,exponential,0.83004,0.99207,Subdiffusive,48,transit_32_model_msd.png,ok
WASP-019,63,32,in_transit_resid,resid,exponential,2.69685,-38.07928,Hyperballistic,48,transit_32_resid_msd.png,ok
WASP-019,63,32,post_baseline,post,exponential,2.68916,-27.84353,Hyperballistic,47,transit_32_post_msd.png,ok
WASP-019,63,33,pre_baseline,pre,exponential,2.55617,-22.00587,Hyperballistic,41,transit_33_pre_msd.png,ok
WASP-019,63,33,in_transit_raw,raw,exponential,0.50134,0.94517,Subdiffusive,34,transit_33_raw_msd.png,ok
WASP-019,63,33,in_transit_model,model,exponential,0.26368,0.98946,Subdiffusive,34,transit_33_model_msd.png,ok
WASP-019,63,33,in_transit_resid,resid,exponential,2.56968,-20.91259,Hyperballistic,34,transit_33_resid_msd.png,ok
WASP-019,63,33,post_baseline,post,exponential,3.08096,-19.6712,Hyperballistic,39,transit_33_post_msd.png,ok
