pl_name,hostname,st_spectype,st_teff,pl_rade,pl_bmasse,pl_orbper,pl_orbpererr1,pl_trandur,pl_trandep,pl_tranmid,pl_tranmiderr1,ra,dec,disc_facility
"TOI-669 b","TOI-669",,5597.00,2.58606487,10.00000000,3.94515200000,0.00001800000,2.8712193,0.08410000,2458546.14190000,0.00250000,158.9007013,-5.1813735,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-48 c","Kepler-48",,5194.00,2.71000000,14.61000000,9.67395000000,,3.2870000,0.09527000,2454958.33925000,,299.1393094,40.9489390,"Kepler"
"Kepler-255 c","Kepler-255",,5573.00,2.99000000,9.22000000,9.94604700000,0.00003500000,3.3800000,0.09945000,2455004.70016000,0.00210000,296.0642702,45.9767647,"Kepler"
"Kepler-1806 b","Kepler-1806",,5311.00,2.35560189,6.15000000,9.03332042700,,2.8570000,0.06107000,2454970.17030000,0.00370000,287.5349528,49.8016283,"Kepler"
"Kepler-243 b","Kepler-243",,5228.00,2.45000000,6.57000000,5.71544200000,0.00001100000,2.4840000,0.09081000,2455007.87832000,0.00109000,285.1104819,42.0339619,"Kepler"
"Kepler-308 b","Kepler-308",,5895.00,2.12000000,5.14000000,9.69492800000,0.00009000000,2.6090000,0.05152000,2455015.45617000,0.00558000,295.7852423,40.4395753,"Kepler"
"Kepler-465 b","Kepler-465",,6310.00,2.95000000,9.01000000,9.94067246600,0.00000654500,3.9006000,0.05238000,2454968.21507300,0.00054400,284.5557853,46.0638865,"Kepler"
"Kepler-1170 b","Kepler-1170",,5069.00,2.41000000,6.39000000,9.98969327000,0.00004242000,3.7040000,0.09884000,2454966.76149000,0.00348000,292.1685422,43.7795963,"Kepler"
"Kepler-664 b","Kepler-664",,5754.00,2.66000000,7.56000000,2.52559331500,0.00000366500,1.5882000,0.06033000,2455004.59513000,0.00110000,288.7549029,48.2262030,"Kepler"
"Kepler-234 b","Kepler-234",,6224.00,3.70000000,13.20000000,2.71150600000,0.00000600000,3.1750000,0.08375000,2455003.03513000,0.00130000,291.6535379,38.4946597,"Kepler"
"K2-181 b","K2-181",,5528.00,2.69000000,7.70000000,6.89410000000,0.00043000000,2.5200000,0.08280000,2457143.79480000,0.00250000,127.5541103,10.9101444,"K2"
"K2-36 c","K2-36","K2 V",4916.00,3.20000000,7.90000000,5.34088800000,0.00008600000,1.1530000,0.15450000,2456812.84001000,0.00071000,169.4490102,3.8665038,"K2"
"K2-285 b","K2-285","K2 V",4975.00,2.59000000,9.68000000,3.47174500000,0.00004400000,2.1800000,0.09700000,2457743.37545000,0.00051000,349.3843458,1.3001522,"K2"
"Kepler-203 c","Kepler-203",,5821.00,2.47000000,749.90000000,5.37064700000,0.00000800000,2.0140000,0.05194000,2455005.23697000,0.00091000,297.0899590,41.3880686,"Kepler"
"Kepler-1011 b","Kepler-1011",,5416.00,2.87000000,8.60000000,5.75322197400,0.00000941700,1.6828000,0.08151000,2454969.75619000,0.00124000,297.4015491,46.8239976,"Kepler"
"Kepler-717 b","Kepler-717",,5485.00,2.42000000,6.44000000,4.40840023000,0.00001493000,4.9330000,0.05494000,2455005.18930000,0.00289000,292.9655071,43.3463450,"Kepler"
"Kepler-1627 b","Kepler-1627",,5445.00,3.69000000,13.20000000,7.20283653000,0.00008773000,2.8860000,0.18326000,2454968.19376000,0.00886000,284.0566675,41.5767277,"Kepler"
"Kepler-981 b","Kepler-981",,5718.00,2.31000000,5.95000000,4.46975773600,0.00000586300,1.8062000,0.05928000,2454964.84366000,0.00112000,289.2489051,47.6501141,"Kepler"
"Kepler-583 b","Kepler-583",,5523.00,2.28000000,5.82000000,6.51002530000,0.00001381000,3.3302000,0.06028000,2455005.91594000,0.00159000,282.1113206,42.3545514,"Kepler"
"Kepler-173 c","Kepler-173",,6031.00,2.43000000,6.48000000,8.00577700000,0.00001500000,3.1290000,0.06578000,2455003.50340000,0.00116000,294.6466171,41.8840952,"Kepler"
"Kepler-557 b","Kepler-557",,6068.00,2.67000000,7.61000000,3.70598955100,0.00000486700,5.1039000,0.05014000,2455002.94342000,0.00107000,293.7084179,41.6151084,"Kepler"
"Kepler-1044 b","Kepler-1044",,5985.00,2.67000000,7.61000000,6.77408868000,0.00001867000,2.6196000,0.05203000,2454968.95514000,0.00244000,293.1444017,46.6662155,"Kepler"
"Kepler-116 b","Kepler-116",,6142.00,3.42000000,11.60000000,5.96873400000,0.00000900000,3.6390000,0.05279000,2454970.15762000,0.00092000,294.7420605,43.5367842,"Kepler"
"TOI-251 b","TOI-251",,5875.00,2.74000000,317.83000000,4.93777000000,0.00002800000,2.2320000,0.08448199,2458357.30548000,0.00130000,353.0620655,-37.2558629,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-570 b","Kepler-570",,5496.00,2.45000000,6.57000000,4.30166200300,0.00000310500,2.0699000,0.07605000,2455005.31029200,0.00057200,290.4376111,48.7918597,"Kepler"
"Kepler-893 b","Kepler-893",,5820.00,3.03000000,9.43000000,6.33855761000,0.00001361000,3.2833000,0.07217000,2455187.85110000,0.00159000,284.9630591,43.9130282,"Kepler"
"K2-138 d","K2-138","G8 V",5356.30,2.39000000,7.92000000,5.40479000000,0.00021000000,2.7000000,0.08379800,2457743.15989000,0.00091000,348.9490311,-10.8497391,"K2"
"K2-138 e","K2-138","G8 V",5356.30,3.39000000,12.97000000,8.26146000000,0.00021000000,2.9700000,0.13430000,2457740.64558000,0.00085000,348.9490311,-10.8497391,"K2"
"Kepler-170 b","Kepler-170",,5679.00,3.20000000,82.60000000,7.93059200000,0.00001400000,3.6800000,0.08261000,2455002.51582000,0.00106000,284.5211975,41.6296562,"Kepler"
"Kepler-894 b","Kepler-894",,5603.00,2.78000000,8.15000000,9.80322400000,0.00003027000,4.4934000,0.08134000,2455196.98590000,0.00227000,288.7340513,46.9393630,"Kepler"
"TOI-6080 b","TOI-6080",,5775.46,3.32424168,11.00000000,8.05562348084,0.00014117487,3.5651667,0.09138622,2459735.40554349,0.00686859,266.6044226,38.0787076,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1230 b","Kepler-1230",,5961.00,2.71000000,7.80000000,9.95661537000,0.00004469000,2.8700000,0.05868000,2454969.59034000,0.00463000,283.2645129,41.7114526,"Kepler"
"K2-275 b","K2-275",,4841.00,2.34000000,6.08000000,3.28096260000,0.00000160000,1.9296000,0.09680000,2457142.13395920,0.00033690,132.1698795,20.4550162,"K2"
"Kepler-708 b","Kepler-708",,5692.00,2.93000000,8.91000000,3.16789193800,0.00000384100,2.1875000,0.07812000,2455005.14858600,0.00098100,293.8164588,42.2125159,"Kepler"
"Kepler-178 b","Kepler-178",,5676.00,2.90000000,8.75000000,9.57669400000,0.00002100000,3.3770000,0.07468000,2455009.68127000,0.00124000,287.1010275,46.8964033,"Kepler"
"TOI-1839 b","TOI-1839",,5315.91,2.21895097,5.56000000,1.42378440907,0.00000774471,1.7875652,0.07210459,2458938.48301058,0.00377800,196.8331106,5.8520458,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-57 b","Kepler-57",,5187.90,3.13500000,25.06000000,5.72000000000,,1.1816000,0.08654000,2454971.55997100,0.00064100,293.6413146,44.6570692,"Kepler"
"Kepler-461 b","Kepler-461",,5634.00,2.58000000,7.18000000,8.31378305900,0.00000766100,2.9927000,0.08103000,2455008.99157600,0.00075400,292.2490563,46.1647909,"Kepler"
"TOI-2092 b","TOI-2092",,5842.06,2.94892961,9.00000000,4.30325528074,0.00002596426,2.4191037,0.07107657,2459648.65533738,0.00223939,212.5474866,45.5638685,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-250 b","K2-250",,5003.00,2.71257333,7.81000000,4.01392000000,0.00029000000,2.3664000,0.09700000,2457620.25350000,0.00150000,185.0315429,-8.9757427,"K2"
"TOI-3261 b","TOI-3261","K1.5+/-1",5068.00,3.82000000,30.30000000,0.88313310000,0.00000100000,1.6180000,0.20680675,2459112.40036000,0.00063000,47.7285242,-73.5319720,"Transiting Exoplanet Survey Satellite (TESS)"
"HIP 116454 b","HIP 116454","K1",5048.00,2.46900000,9.70000000,9.10041570000,0.00000410000,2.4310000,0.08890000,2458072.29291000,0.00062000,353.9543517,0.4447043,"K2"
"TOI-1246 c","TOI-1246","K V",5213.00,2.45109846,9.10000000,5.90413700000,0.00001400000,2.8928243,0.07739266,2458683.46630000,0.00180000,251.1158702,70.4299917,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-736 b","Kepler-736",,5217.00,2.93000000,8.91000000,3.60147201000,0.00000543500,2.5220000,0.07777000,2455004.99099000,0.00118000,285.3913092,46.1809293,"Kepler"
"K2-58 b","K2-58",,5413.00,2.68000000,7.65000000,7.05254000000,0.00032000000,1.8990000,0.10300000,2456986.97630000,0.00150000,333.8218395,-14.0498570,"K2"
"HD 93963 A c","HD 93963 A","G0 V",5908.00,3.11976057,18.40000000,3.64513890000,0.00000440000,2.3643117,0.07800000,2458902.87400000,0.00068000,162.7766969,25.6410650,"Transiting Exoplanet Survey Satellite (TESS)"
